ID,Delivery_person_ID,Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Order_Date,Time_Orderd,Time_Order_picked,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),delivery_category
0xcdcd,DEHRES17DEL01,36.0,4.2,30.33,78.05,30.4,78.12,12-02-2022,21:55,22:10,Fog,Jam,2,Snack,motorcycle,3.0,No,Metropolitian,46,Food
0xd987,KOCRES16DEL01,21.0,4.7,10.0,76.31,10.04,76.35,13-02-2022,14:55,15:05,Stormy,Jam,1,Meal,motorcycle,1.0,No,Metropolitian,23,Food
0x2784,PUNERES13DEL03,23.0,4.7,18.56,73.92,18.65,74.01,04-03-2022,17:30,17:40,Sandstorms,Jam,1,Drinks,scooter,1.0,No,Metropolitian,21,Grocery
0xc8b6,LUDHRES15DEL02,34.0,4.3,30.9,75.81,30.92,75.83,13-02-2022,09:20,09:30,Sandstorms,Jam,0,Buffet,motorcycle,0.0,No,Metropolitian,20,Food
0xdb64,KNPRES14DEL02,24.0,4.7,26.46,80.37,26.59,80.5,14-02-2022,19:50,20:05,Fog,Jam,1,Snack,scooter,1.0,No,Metropolitian,41,Food
0x3af3,MUMRES15DEL03,29.0,4.5,19.18,72.84,19.27,72.93,02-04-2022,20:25,20:35,Sandstorms,Jam,2,Buffet,electric_scooter,1.0,No,Metropolitian,20,Food
0x3aab,MYSRES01DEL01,35.0,4.0,12.31,76.65,12.35,76.69,01-03-2022,14:55,15:10,Windy,Jam,1,Meal,scooter,1.0,No,Metropolitian,33,Food
0x689b,PUNERES20DEL01,33.0,4.2,18.59,73.77,18.7,73.88,16-03-2022,20:30,20:40,Sandstorms,Jam,2,Snack,motorcycle,1.0,No,Metropolitian,40,Food
0x6f67,HYDRES14DEL01,34.0,4.9,17.43,78.41,17.5,78.48,20-03-2022,20:40,20:50,Cloudy,Jam,0,Snack,motorcycle,,No,Metropolitian,41,Food
0xc9cf,KOLRES15DEL03,21.0,4.7,22.55,88.35,22.58,88.38,15-02-2022,21:15,21:30,Windy,Jam,0,Meal,motorcycle,1.0,No,Urban,15,Food
0x36b8,PUNERES19DEL02,25.0,4.1,18.56,73.92,18.64,74.0,16-03-2022,20:20,20:25,Sandstorms,Jam,0,Snack,motorcycle,2.0,No,Metropolitian,36,Food
0x5795,RANCHIRES06DEL02,31.0,4.7,23.36,85.33,23.49,85.46,10-03-2022,22:30,22:45,Sandstorms,Low,2,Meal,electric_scooter,0.0,No,Metropolitian,26,Food
0x6c6b,COIMBRES13DEL01,37.0,5.0,11.0,76.98,11.01,76.99,11-03-2022,08:15,08:30,Sandstorms,Low,1,Snack,motorcycle,1.0,No,Metropolitian,20,Food
0xb816,CHENRES19DEL02,33.0,4.3,12.99,80.22,13.12,80.35,27-03-2022,19:30,19:45,Windy,Jam,2,Meal,scooter,1.0,No,Metropolitian,39,Food
0x539b,MUMRES02DEL01,25.0,4.0,19.22,72.86,19.26,72.9,26-03-2022,12:25,12:30,Cloudy,Jam,1,Buffet,motorcycle,1.0,No,Metropolitian,34,Food
0xa1b2,CHENRES01DEL01,29.0,4.5,13.01,80.25,13.12,80.36,27-03-2022,18:35,18:50,Sunny,Jam,2,Meal,electric_scooter,1.0,No,Metropolitian,15,Food
0x3231,JAPRES16DEL03,27.0,5.0,26.85,75.8,26.88,75.83,05-04-2022,20:35,20:40,Stormy,Jam,0,Snack,motorcycle,0.0,No,Urban,18,Food
0x8bc0,SURRES15DEL03,35.0,4.3,21.16,72.77,21.25,72.86,12-03-2022,23:20,23:30,Cloudy,Jam,1,Drinks,scooter,0.0,No,Metropolitian,38,Food
0x2288,BANGRES09DEL03,32.0,4.0,12.93,77.62,13.02,77.71,16-03-2022,21:20,21:35,Windy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,47,Food
0x3c5e,PUNERES04DEL01,23.0,4.8,18.51,73.84,18.62,73.95,02-04-2022,23:35,23:45,Windy,Low,2,Buffet,electric_scooter,0.0,No,Urban,12,Food
0x3e60,COIMBRES02DEL03,31.0,4.8,11.02,77.0,11.05,77.03,01-04-2022,22:35,22:50,Sandstorms,Jam,2,Drinks,motorcycle,1.0,No,Metropolitian,26,Grocery
0xbff,SURRES16DEL02,36.0,4.1,21.16,72.77,21.21,72.82,05-03-2022,22:35,22:40,Stormy,Jam,0,Drinks,motorcycle,1.0,No,Urban,22,Food
0xd936,GOARES15DEL02,26.0,4.3,15.51,73.78,15.56,73.83,11-02-2022,23:25,23:35,Sandstorms,Jam,0,Buffet,motorcycle,0.0,No,Urban,21,Food
0xd681,GOARES07DEL01,38.0,4.9,15.56,73.75,15.6,73.79,11-02-2022,13:35,13:40,Cloudy,Jam,1,Drinks,scooter,1.0,No,Urban,25,Food
0x2876,RANCHIRES02DEL01,32.0,3.5,0.0,0.0,0.11,0.11,08-03-2022,21:35,21:45,Stormy,Jam,1,Snack,scooter,0.0,No,Urban,35,Food
0x30c8,PUNERES19DEL02,32.0,4.6,18.56,73.92,18.69,74.05,02-04-2022,22:35,22:45,Cloudy,Jam,2,Drinks,scooter,1.0,No,Metropolitian,30,Grocery
0xb843,PUNERES02DEL01,33.0,4.9,18.55,73.8,18.62,73.87,08-03-2022,18:55,19:10,Sunny,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,22,Food
0xb3a0,PUNERES18DEL01,20.0,4.7,18.59,73.79,18.63,73.83,03-04-2022,14:15,14:25,Windy,Jam,1,Snack,scooter,0.0,No,Urban,10,Food
0x6531,SURRES08DEL01,20.0,4.8,21.17,72.79,21.18,72.8,30-03-2022,0.458333333,11:10,Sandstorms,Jam,2,Meal,scooter,1.0,No,Metropolitian,19,Food
0x4bda,HYDRES17DEL02,35.0,5.0,17.45,78.39,17.47,78.41,01-04-2022,09:45,09:55,Sunny,Low,2,Snack,scooter,1.0,No,Urban,11,Food
0x9d26,BANGRES17DEL02,26.0,4.9,12.97,77.61,12.99,77.63,28-03-2022,08:40,08:55,Stormy,Jam,2,Buffet,scooter,0.0,No,Metropolitian,11,Food
0x9b18,BANGRES17DEL01,22.0,4.8,12.97,77.61,13.04,77.68,18-03-2022,0.958333333,23:10,Fog,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,28,Food
0x5d99,CHENRES11DEL01,35.0,4.3,13.06,80.24,13.13,80.31,14-03-2022,17:25,17:30,Cloudy,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,33,Food
0x4f0,MUMRES17DEL02,,,19.12,72.91,19.2,72.99,06-04-2022,,18:35,Cloudy,Jam,1,Drinks,scooter,1.0,No,Metropolitian,33,Grocery
0xb796,SURRES17DEL03,37.0,4.7,21.15,72.77,21.24,72.86,04-04-2022,19:45,19:50,Sandstorms,Jam,0,Snack,motorcycle,3.0,No,Metropolitian,52,Food
0x85b4,MUMRES07DEL01,28.0,4.6,19.09,72.83,19.2,72.94,08-03-2022,19:10,19:25,Stormy,Jam,1,Snack,scooter,1.0,No,Metropolitian,22,Food
0xc644,KOLRES16DEL02,37.0,4.9,22.54,88.37,22.56,88.39,13-02-2022,10:55,0.458333333,Fog,Jam,1,Snack,scooter,1.0,No,Urban,16,Food
0x6999,MUMRES02DEL03,23.0,4.9,19.22,72.86,19.28,72.92,24-03-2022,21:40,21:45,Sunny,Jam,2,Drinks,electric_scooter,0.0,No,Metropolitian,11,Food
0x63b6,BANGRES05DEL03,27.0,4.9,12.97,77.65,13.03,77.71,19-03-2022,0.791666667,19:15,Windy,Jam,1,Drinks,scooter,1.0,No,Metropolitian,25,Grocery
0xa30b,CHENRES11DEL01,37.0,4.8,13.06,80.24,13.1,80.28,09-03-2022,16:45,16:55,Cloudy,Jam,0,Drinks,motorcycle,1.0,No,Urban,26,Food
0x3556,SURRES09DEL01,33.0,5.0,21.18,72.8,21.19,72.81,19-03-2022,11:30,11:40,Sunny,Jam,2,Snack,scooter,1.0,No,Metropolitian,18,Food
0x5554,RANCHIRES15DEL01,31.0,4.9,23.37,85.34,23.41,85.38,03-04-2022,15:10,15:15,Fog,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,16,Food
0x25fd,BANGRES19DEL01,31.0,4.8,12.91,77.68,13.02,77.79,25-03-2022,22:45,22:55,Stormy,Jam,2,Drinks,scooter,1.0,No,Metropolitian,23,Food
0xc1ff,AURGRES20DEL03,25.0,5.0,0.0,0.0,0.03,0.03,13-02-2022,22:10,22:25,Cloudy,Low,0,Snack,motorcycle,0.0,No,Metropolitian,15,Food
0x7ac8,COIMBRES14DEL02,28.0,4.8,11.0,76.98,11.08,77.06,04-04-2022,20:45,20:55,Sandstorms,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,36,Grocery
0x3da1,SURRES08DEL03,31.0,4.7,21.17,72.79,21.23,72.85,26-03-2022,22:50,23:05,Cloudy,Jam,2,Snack,motorcycle,0.0,No,Metropolitian,16,Food
0x272d,COIMBRES07DEL03,24.0,4.7,10.96,76.97,11.05,77.06,10-03-2022,17:55,0.75,Sunny,Jam,0,Buffet,motorcycle,0.0,No,Urban,19,Food
0xddc5,AGRRES12DEL03,39.0,4.6,27.17,78.02,27.26,78.11,14-02-2022,22:45,0.958333333,Sunny,Low,1,Snack,motorcycle,1.0,No,Metropolitian,27,Food
0x8e6c,VADRES02DEL02,39.0,4.2,0.0,0.0,0.08,0.08,02-03-2022,20:35,20:50,Fog,Jam,2,Snack,scooter,1.0,No,Semi-Urban,49,Food
0xb002,JAPRES14DEL01,32.0,4.5,26.89,75.8,26.9,75.81,26-03-2022,09:25,09:40,Windy,Jam,2,Buffet,scooter,0.0,No,,20,Food
0x395b,VADRES04DEL03,36.0,4.7,0.0,0.0,0.06,0.06,13-03-2022,20:15,20:20,Cloudy,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,30,Food
0x8aa2,JAPRES18DEL02,25.0,4.8,26.91,75.75,26.99,75.83,29-03-2022,22:25,22:35,Sandstorms,Jam,1,Drinks,scooter,0.0,No,Urban,18,Grocery
